@FIRSTNAME;@LASTNAME;@CLUB;@WEIGHT;@CATEGORY
Ryuju;NAGAYAMA;Japan;-60;M
Robert;MSHVIDOBADZE;Russian Federation;-60;M
Manuel;LOMBARDO;Italy;-66;M
Joshiro;MARUYAMA;Japan;-66;M
Rustam;ORUJOV;Azerbaijan;-73;M
Soichi;HASHIMOTO;Japan;-73;M
Matthias;CASSE;Belgium;-81;M
Sagi;MUKI;Israel;-81;M
Nikoloz;SHERAZADISHVILI;Spain;-90;M
Ivan Felipe;SILVA MORALES;Cuba;-90;M
Peter;PALTCHIK;Israel;-100;M
Guham;CHO;Republic of Korea;-100;M
Lukas;KRPALEK;Czech Republic;+100;M
Hisayoshi;HARASAWA;Japan;+100;M
Clarisse;AGBENENOU;France;-63;F
Amandine;BUCHARD;France;-52;F
Idalys;ORTIZ;Cuba;+78;F
Distria;KRASNIQI;Kosovo;-48;F
Jessica;KLIMKAIT ;Canada;-57;F
Madeleine;MALONGA ;France;-78;F
Marie Eve;GAHIE ;France;-70;F
Tina;TRSTENJAK;Slovenia;-63;F
Christa;DEGUCHI;Canada;-57;F
Daria;BILODID;Ukraine;-48;F
Uta;ABE;Japan;-52;F
Maria Suelen;ALTHEMAN;Brazil;+78;F
Shori;HAMADA;Japan;-78;F
Margaux;PINOT;France;-70;F
